date,tqqq,qqq,bil
2011-11-04,0.3806178868,50.8576354980,73.6523742676
2011-11-07,0.3890835345,51.2183914185,73.6684188843
2011-11-08,0.4020547569,51.8079147339,73.6684188843
2011-11-09,0.3604680300,49.9865493774,73.6523742676
2011-11-10,0.3589823246,49.9601554871,73.6684188843
2011-11-11,0.3791321218,50.9016151428,73.6523742676
2011-11-14,0.3726959229,50.5848655701,73.6684188843
2011-11-15,0.3846777081,51.1479873657,73.6523742676
2011-11-16,0.3657160401,50.3033065796,73.6684188843
2011-11-17,0.3405653238,49.1242408752,73.6684188843
2011-11-18,0.3323972225,48.7458915710,73.6684188843
2011-11-21,0.3130885959,47.8132247925,73.6684188843
2011-11-22,0.3158119321,47.9715995789,73.6523742676
2011-11-23,0.2948200107,46.8893203735,73.6684188843
2011-11-25,0.2881365418,46.5285797119,73.6684188843
2011-11-28,0.3178907633,48.1475830078,73.6684188843
2011-11-29,0.3121474981,47.8484115601,73.6363372803
2011-11-30,0.3464073539,49.6169853210,73.6523742676
2011-12-01,0.3538340628,49.9601554871,73.6363372803
2011-12-02,0.3504673243,49.8193626404,73.6523742676
2011-12-05,0.3619527519,50.3649024963,73.6523742676
2011-12-06,0.3591809273,50.2241058350,73.6684188843
2011-12-07,0.3597256243,50.2241058350,73.6523742676
2011-12-08,0.3414075077,49.3794097900,73.6523742676
2011-12-09,0.3575963676,50.1713142395,73.6363372803
2011-12-12,0.3458627760,49.6081886292,73.6363372803
2011-12-13,0.3341795206,49.0626487732,73.6363372803
2011-12-14,0.3186332285,48.2971572876,73.6523742676
2011-12-15,0.3161579370,48.1651802063,73.6363372803
2011-12-16,0.3201189339,48.4131393433,73.6523742676
2011-12-19,0.3112569153,47.9365959167,73.6523742676
2011-12-20,0.3388819993,49.3573951721,73.6523742676
2011-12-21,0.3247728646,48.6514167786,73.6523742676
2011-12-22,0.3326938748,49.0661888123,73.6523742676
2011-12-23,0.3413086236,49.4897766113,73.6523742676
2011-12-27,0.3439321816,49.6743850708,73.6363372803
2011-12-28,0.3328914940,49.1002693176,73.6395187378
2011-12-29,0.3393771052,49.4535713196,73.6395187378
2011-12-30,0.3366053104,49.3122367859,73.6395187378
2012-01-03,0.3557647169,50.2573318481,73.6234817505
2012-01-04,0.3600221872,50.4693107605,73.6234817505
2012-01-05,0.3688842356,50.8844528198,73.6234817505
2012-01-06,0.3726959229,51.0610961914,73.6234817505
2012-01-09,0.3695771098,50.8932723999,73.6395187378
2012-01-10,0.3771521151,51.2642517090,73.6395187378
2012-01-11,0.3797757030,51.3702316284,73.6234817505
2012-01-12,0.3842812777,51.5733947754,73.6234817505
2012-01-13,0.3798744977,51.3879051208,73.6234817505
2012-01-17,0.3900739849,51.8560104370,73.6234817505
2012-01-18,0.4055699110,52.5449752808,73.6234817505
2012-01-19,0.4136885107,52.8717842102,73.6234817505
2012-01-20,0.4118568897,52.7922897339,73.6234817505
2012-01-23,0.4118075073,52.8099365234,73.6234817505
2012-01-24,0.4095299542,52.7127799988,73.6234817505
2012-01-25,0.4251751304,53.3752250671,73.6234817505
2012-01-26,0.4206694067,53.1897430420,73.6234817505
2012-01-27,0.4248281419,53.3487281799,73.6234817505
2012-01-30,0.4255211055,53.3928833008,73.6395187378
